method,task,seed,success_rate,mean_steps
DeepLTL,F (a & (!b U c)) & F d,1,0.998,9.929859719438877
DeepLTL,F (a & (!b U c)) & F d,2,1.0,9.894
DeepLTL,F (a & (!b U c)) & F d,3,0.996,9.255020080321286
DeepLTL,F (a & (!b U c)) & F d,4,1.0,9.3
DeepLTL,F (a & (!b U c)) & F d,5,1.0,9.91
DeepLTL,(F d) & (!f U (d & F b)),1,0.984,7.4471544715447155
DeepLTL,(F d) & (!f U (d & F b)),2,0.98,7.214285714285714
DeepLTL,(F d) & (!f U (d & F b)),3,0.978,7.361963190184049
DeepLTL,(F d) & (!f U (d & F b)),4,0.984,7.58130081300813
DeepLTL,(F d) & (!f U (d & F b)),5,0.982,6.678207739307536
DeepLTL,(F ((a | c | j) & F b)) & (F (c & F d)) & F k,1,1.0,12.104
DeepLTL,(F ((a | c | j) & F b)) & (F (c & F d)) & F k,2,0.998,12.841683366733466
DeepLTL,(F ((a | c | j) & F b)) & (F (c & F d)) & F k,3,1.0,12.718
DeepLTL,(F ((a | c | j) & F b)) & (F (c & F d)) & F k,4,1.0,12.072
DeepLTL,(F ((a | c | j) & F b)) & (F (c & F d)) & F k,5,1.0,11.408
DeepLTL,!a U (b & (!c U (d & (!e U f)))),1,0.96,11.660416666666666
DeepLTL,!a U (b & (!c U (d & (!e U f)))),2,0.978,12.548057259713701
DeepLTL,!a U (b & (!c U (d & (!e U f)))),3,0.976,12.385245901639344
DeepLTL,!a U (b & (!c U (d & (!e U f)))),4,0.97,12.70103092783505
DeepLTL,!a U (b & (!c U (d & (!e U f)))),5,0.96,11.372916666666667
DeepLTL,((a | b | c | d) => F (e & (F (f & F g)))) U (h & F i),1,0.994,9.261569416498993
DeepLTL,((a | b | c | d) => F (e & (F (f & F g)))) U (h & F i),2,0.994,10.826961770623743
DeepLTL,((a | b | c | d) => F (e & (F (f & F g)))) U (h & F i),3,0.998,8.98196392785571
DeepLTL,((a | b | c | d) => F (e & (F (f & F g)))) U (h & F i),4,1.0,9.42
DeepLTL,((a | b | c | d) => F (e & (F (f & F g)))) U (h & F i),5,1.0,8.904
GCRL-LTL,F (a & (!b U c)) & F d,1,0.858,14.668997668997669
GCRL-LTL,F (a & (!b U c)) & F d,2,0.948,15.691983122362869
