method,task,seed,success_rate,mean_steps
DeepLTL,RA-6,1,0.952,25.250
DeepLTL,RA-6,2,0.962,24.821205821205822
DeepLTL,RA-6,3,0.94,25.227659574468085
GCRL-LTL,RA-6,1,0.594,29.35016835016835
GCRL-LTL,RA-6,2,0.496,29.838709677419356
DeepLTL,RA-6,4,0.952,24.373949579831933
GCRL-LTL,RA-6,3,0.758,32.6622691292876
GCRL-LTL,RA-6,4,0.618,32.029126213592235
GCRL-LTL,RA-6,5,0.614,29.319218241042346
DeepLTL,RA-6,5,0.944,25.031779661016948
LTL2Action,RA-6,1,0.13,56.38461538461539
LTL2Action,RA-6,2,0.156,56.243589743589745
LTL2Action,RA-6,3,0.154,55.22077922077922
LTL2Action,RA-6,4,0.088,57.72727272727273
LTL2Action,RA-6,5,0.122,56.26229508196721
GCRL-LTL,R-12,5,0.984,57.951219512195124
GCRL-LTL,R-12,1,0.94,56.874468085106386
GCRL-LTL,R-12,2,0.934,61.45824411134904
GCRL-LTL,R-12,3,0.858,62.89044289044289
GCRL-LTL,R-12,4,0.95,61.55578947368421
DeepLTL,R-12,5,0.964,43.844398340248965
DeepLTL,R-12,1,0.982,43.32179226069246
DeepLTL,R-12,2,0.984,43.010162601626014
DeepLTL,R-12,4,0.98,42.76734693877551
DeepLTL,R-12,3,0.988,43.68421052631579
LTL2Action,R-12,5,1.0,41.694
LTL2Action,R-12,1,0.742,56.490566037735846
LTL2Action,R-12,2,0.992,43.41129032258065
LTL2Action,R-12,3,0.726,55.980716253443525
LTL2Action,R-12,4,0.998,41.43887775551102
